fecha,isla,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presMax,presMin,hrMedia,hrMax,hrMin
2021-01-19,GRAN CANARIA,16.799999999999997,0.0,13.65,19.9,5.0,2.8,13.9,6.3,1021.5,1017.6,72.0,84.0,60.0
2021-01-19,EL HIERRO,17.6,0.0,14.5,20.8,35.0,3.1,8.9,6.3,1022.9,1019.7,67.0,74.0,58.0
2021-01-19,LANZAROTE,15.8,0.0,11.9,19.8,15.0,2.8,5.8,9.4,1024.8,1021.1,73.0,89.0,58.0
2021-01-19,LA GOMERA,16.4,0.0,13.3,19.4,24.0,2.8,8.3,9.8,1000.6,997.0,70.0,80.0,62.0
2021-01-19,FUERTEVENTURA,16.4,0.0,13.2,19.5,99.0,3.3,6.7,8.4,1023.5,1019.5,69.0,81.0,62.0
2021-01-19,TENERIFE,17.4,0.0,14.1,20.8,27.0,2.5,5.3,8.3,1022.4,1019.2,69.0,78.0,56.0
2021-01-19,LA PALMA,17.5,0.0,15.2,19.8,26.0,1.9,7.2,3.3,1021.6,1018.0,63.0,74.0,58.0
2021-01-20,LA PALMA,17.8,0.0,15.2,20.4,99.0,2.5,6.1,9.4,1019.8,1017.0,64.0,80.0,56.0
2021-01-20,EL HIERRO,18.8,0.0,14.9,22.7,30.0,4.7,14.4,9.1,1021.3,1018.8,61.0,73.0,49.0
2021-01-20,TENERIFE,17.9,0.0,14.4,21.4,27.0,2.2,7.2,7.5,1020.2,1018.3,67.0,81.0,56.0
2021-01-20,FUERTEVENTURA,15.2,0.0,10.9,19.6,99.0,2.5,5.8,9.9,1021.3,1018.9,74.0,87.0,62.0
2021-01-20,GRAN CANARIA,16.2,0.0,12.4,20.0,36.0,2.8,9.7,8.3,1019.4,1017.3,71.0,84.0,60.0
2021-01-20,LANZAROTE,15.9,0.0,10.4,21.4,21.0,2.8,8.3,9.7,1022.4,1019.8,72.0,96.0,42.0
2021-01-20,LA GOMERA,15.8,0.0,12.7,19.0,29.0,1.9,6.1,9.8,998.6,996.4,72.0,81.0,64.0
2021-01-21,GRAN CANARIA,18.8,0.1,15.7,21.9,3.0,6.7,13.3,7.5,1021.3,1018.3,71.0,87.0,62.0
2021-01-21,EL HIERRO,20.0,0.05,18.5,21.5,36.0,4.7,8.9,8.1,1023.5,1020.2,73.0,86.0,68.0
2021-01-21,LA GOMERA,17.6,0.0,14.9,20.3,20.0,2.5,6.7,9.3,1001.0,997.4,81.0,91.0,72.0
2021-01-21,TENERIFE,19.2,0.0,15.3,23.0,34.0,1.9,7.8,10.0,1022.1,1019.2,72.0,85.0,61.0
2021-01-21,FUERTEVENTURA,19.2,0.0,16.4,21.9,99.0,4.4,8.3,5.8,1023.1,1020.1,77.0,83.0,71.0
2021-01-21,LANZAROTE,17.9,0.0,14.3,21.5,35.0,1.9,6.1,5.9,1024.3,1021.3,77.0,91.0,66.0
2021-01-21,LA PALMA,18.9,0.0,15.9,21.9,1.0,2.5,10.3,7.6,1021.9,1018.7,81.0,87.0,69.0
2021-01-22,TENERIFE,20.2,0.05,16.6,23.7,6.0,2.8,8.6,9.8,1022.7,1020.4,71.0,91.0,57.0
2021-01-22,GRAN CANARIA,19.5,0.05,17.3,21.7,99.0,8.6,13.9,8.1,1021.9,1019.4,79.0,96.0,66.0
2021-01-22,LA GOMERA,18.8,0.0,16.3,21.2,23.0,3.3,8.9,8.4,1001.0,998.9,78.0,91.0,70.0
2021-01-22,FUERTEVENTURA,18.7,0.0,16.5,20.9,2.0,5.3,10.3,1.3,1023.9,1020.8,84.0,92.0,79.0
2021-01-22,EL HIERRO,19.7,0.0,18.5,20.9,99.0,3.9,9.7,0.6,1024.0,1021.6,79.0,89.0,72.0
2021-01-22,LANZAROTE,18.8,0.0,15.4,22.3,1.0,4.7,11.4,5.9,1025.3,1022.0,83.0,97.0,69.0
2021-01-22,LA PALMA,19.4,1.4,17.4,21.3,99.0,4.2,8.3,2.6,1022.7,1020.4,77.0,94.0,70.0
2021-01-23,EL HIERRO,19.6,0.3,18.1,21.0,5.0,3.1,9.7,1.5,1023.1,1019.2,80.0,95.0,71.0
2021-01-23,LA GOMERA,17.6,0.0,15.6,19.6,21.0,2.5,9.2,2.4,1000.7,996.3,81.0,88.0,75.0
2021-01-23,TENERIFE,19.6,0.0,17.2,21.9,8.0,2.8,8.3,8.3,1022.5,1018.6,76.0,95.0,66.0
2021-01-23,LANZAROTE,18.4,1.0,14.5,22.4,3.0,5.3,11.4,9.3,1024.4,1019.8,74.0,95.0,59.0
2021-01-23,LA PALMA,18.9,0.0,17.4,20.4,3.0,3.1,7.2,2.5,1022.2,1018.0,81.0,94.0,73.0
2021-01-23,FUERTEVENTURA,19.0,0.0,17.2,20.8,4.0,5.8,11.4,5.1,1023.1,1018.9,76.0,92.0,66.0
2021-01-23,GRAN CANARIA,19.2,0.2,16.9,21.5,3.0,7.5,12.8,6.2,1021.2,1017.1,77.0,96.0,62.0
2021-01-24,LA GOMERA,17.8,0.0,15.4,20.2,23.0,1.4,5.3,8.6,998.1,994.7,84.0,90.0,78.0
2021-01-24,TENERIFE,19.0,0.0,16.2,21.8,6.0,1.9,5.0,8.8,1020.0,1016.7,72.0,88.0,53.0
2021-01-24,GRAN CANARIA,18.6,0.0,15.7,21.5,99.0,5.6,9.2,7.8,1018.7,1015.5,80.0,90.0,61.0
2021-01-24,LANZAROTE,19.6,0.0,15.0,24.3,4.0,4.7,11.4,9.3,1021.5,1018.2,67.0,91.0,45.0
2021-01-24,FUERTEVENTURA,18.3,0.0,15.4,21.2,99.0,4.4,8.3,7.1,1020.4,1017.4,77.0,87.0,71.0
2021-01-24,EL HIERRO,18.8,0.0,16.4,21.2,99.0,3.1,8.3,8.3,1020.3,1017.3,80.0,87.0,72.0
2021-01-24,LA PALMA,18.8,0.0,16.0,21.5,3.0,3.6,7.2,6.2,1019.2,1015.9,78.0,86.0,70.0
2021-01-25,LA PALMA,18.0,0.0,15.5,20.5,2.0,3.1,7.8,0.7,1020.3,1016.8,76.0,87.0,67.0
2021-01-25,LA GOMERA,18.2,0.0,15.6,20.9,22.0,2.8,5.6,9.7,998.8,995.2,82.0,93.0,75.0
2021-01-25,GRAN CANARIA,18.8,0.0,16.1,21.5,2.0,8.6,13.3,10.1,1019.5,1015.9,73.0,89.0,62.0
2021-01-25,TENERIFE,19.0,0.0,16.0,22.0,10.0,3.6,8.6,9.9,1021.0,1017.2,69.0,75.0,60.0
2021-01-25,FUERTEVENTURA,18.4,0.0,15.1,21.8,3.0,6.1,11.4,8.3,1021.3,1017.8,76.0,83.0,68.0
2021-01-25,EL HIERRO,19.1,0.0,17.1,21.1,4.0,4.4,10.8,6.9,1021.3,1018.0,79.0,86.0,72.0
2021-01-25,LANZAROTE,19.0,0.0,15.0,23.0,99.0,6.9,12.5,9.2,1022.4,1019.0,74.0,95.0,58.0
2021-01-26,GRAN CANARIA,19.4,0.0,17.3,21.5,99.0,9.7,15.3,8.3,1020.0,1016.8,67.0,80.0,58.0
2021-01-26,FUERTEVENTURA,19.6,0.0,17.8,21.5,3.0,8.1,13.9,7.2,1021.4,1018.4,76.0,84.0,68.0
2021-01-26,LA GOMERA,17.5,0.0,14.7,20.3,26.0,3.3,7.2,8.6,998.8,996.4,78.0,88.0,70.0
2021-01-26,LANZAROTE,19.8,0.0,15.9,23.6,99.0,8.3,14.4,8.1,1022.6,1019.1,72.0,87.0,56.0
2021-01-26,EL HIERRO,19.2,0.0,18.2,20.3,2.0,7.2,11.7,6.0,1022.0,1019.4,76.0,81.0,70.0
2021-01-26,LA PALMA,18.8,0.0,16.9,20.6,2.0,4.4,9.2,0.1,1021.5,1018.7,70.0,75.0,64.0
2021-01-26,TENERIFE,18.7,0.0,15.4,22.0,10.0,3.9,9.4,6.2,1021.9,1018.7,71.0,80.0,61.0
2021-01-27,LA GOMERA,18.0,0.0,14.6,21.5,21.0,1.9,5.3,9.8,997.3,994.4,71.0,87.0,38.0
2021-01-27,LANZAROTE,17.4,0.0,12.5,22.3,3.0,2.8,9.2,9.9,1021.2,1018.3,81.0,97.0,52.0
2021-01-27,GRAN CANARIA,19.4,0.0,16.6,22.1,10.0,5.3,11.4,10.1,1018.1,1015.0,78.0,93.0,66.0
2021-01-27,EL HIERRO,19.8,0.0,18.2,21.3,3.0,5.8,13.3,9.3,1020.2,1017.3,77.0,84.0,72.0
2021-01-27,TENERIFE,18.8,0.0,15.9,21.8,26.0,2.8,5.6,8.3,1019.7,1016.2,79.0,91.0,71.0
2021-01-27,LA PALMA,19.0,0.0,16.6,21.5,28.0,3.9,7.8,4.7,1019.5,1016.0,75.0,85.0,68.0
2021-01-27,FUERTEVENTURA,18.0,0.0,15.7,20.3,3.0,3.9,10.8,7.4,1020.3,1017.2,84.0,89.0,54.0
2021-01-28,LA GOMERA,21.2,0.0,16.0,26.4,25.0,1.9,5.3,9.4,997.4,994.0,49.0,81.0,22.0
2021-01-28,LA PALMA,18.2,0.0,15.8,20.7,29.0,2.8,5.8,8.6,1018.5,1015.7,82.0,89.0,74.0
2021-01-28,EL HIERRO,18.6,0.0,16.4,20.9,34.0,2.8,9.2,9.1,1019.7,1016.8,85.0,88.0,69.0
2021-01-28,GRAN CANARIA,19.3,0.0,13.8,24.8,99.0,2.8,7.8,10.3,1017.7,1015.1,57.0,91.0,26.0
2021-01-28,FUERTEVENTURA,18.6,0.0,15.0,22.3,28.0,2.5,6.7,10.1,1019.7,1017.2,67.0,88.0,40.0
2021-01-28,TENERIFE,20.0,0.0,15.2,24.8,28.0,2.5,4.7,10.2,1018.8,1016.4,64.0,91.0,40.0
2021-01-28,LANZAROTE,19.6,0.0,13.3,25.9,99.0,2.5,6.1,9.9,1020.9,1018.3,59.0,88.0,25.0
2021-01-29,LANZAROTE,17.2,0.0,11.1,23.3,99.0,2.8,6.1,9.8,1022.9,1020.1,79.0,96.0,58.0
2021-01-29,FUERTEVENTURA,17.4,0.0,13.0,21.7,1.0,2.2,6.7,10.0,1021.8,1019.1,85.0,96.0,65.0
