isla,fecha,numero_casos,ia_7dias,ia_14dias,pcr_total,pcr_positivos,pcr_porcentaje_positivos,pcr_porcentaje_positivos_7dias,Urg_ingr,Urg_cv,HPT_cv19,HPT_nocv19,CCR_cv19,CCR_nocv19,CSR_cv19,CSR_nocv19,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presMax,presMin,hrMedia,hrMax,hrMin
EL HIERRO,2021-01-11,0,206.3335426572172,287.0727550013456,37,0,0.0,11.387900355871889,0,0,2,9,0,0,0,0,17.7,0.0,16.6,18.8,36.0,8.3,16.1,5.4,1022.1,1019.4,58.0,72.0,52.0
LA GOMERA,2021-01-11,0,55.35566011624689,96.87240520343204,161,2,1.24223602484472,4.819277108433735,0,0,1,17,0,0,0,0,16.2,0.1,13.6,18.7,2.0,3.3,12.8,8.8,999.0,996.1,54.0,74.0,41.0
TENERIFE,2021-01-11,54,68.81297086809879,160.77897575285053,1853,87,4.695089044792229,6.892155392230388,244,11,151,1532,33,62,0,12,16.6,2.8,14.3,19.0,36.0,3.3,10.6,4.3,1021.4,1018.5,57.0,83.0,42.0
GRAN CANARIA,2021-01-11,98,80.18505682502241,139.91474201100849,1582,125,7.901390644753477,8.163063863389596,228,9,87,1575,23,81,0,24,16.0,2.0,13.5,18.6,3.0,6.4,14.4,5.3,1019.7,1016.9,69.0,89.0,50.0
FUERTEVENTURA,2021-01-11,8,106.9054221093776,142.81896234924665,283,13,4.593639575971731,10.012210012210012,15,1,1,86,0,1,0,0,16.0,0.2,12.9,19.2,35.0,5.0,14.4,4.0,1021.1,1018.1,69.0,82.0,53.0
LA PALMA,2021-01-11,1,25.162357113757817,55.117544153945694,210,2,0.952380952380952,4.432757325319309,23,0,0,146,0,5,0,0,16.8,0.7,14.2,19.3,1.0,6.9,16.4,6.1,1021.3,1018.1,58.0,83.0,48.0
GRAN CANARIA,2021-01-12,144,83.22414061139352,144.94091904231456,2017,173,8.57709469509172,8.100929614873838,244,13,95,1615,23,76,0,24,15.9,0.7,13.1,18.7,99.0,6.1,12.8,5.7,1021.4,1018.1,82.0,92.0,50.0
TENERIFE,2021-01-12,74,62.136281988877926,147.64097505502883,2121,121,5.704856199905705,6.602216458382457,202,5,138,1518,33,62,0,14,17.2,4.2,14.0,20.3,34.0,2.5,8.6,5.0,1022.6,1019.4,65.0,84.0,49.0
LANZAROTE,2021-01-12,123,229.7640746540703,313.1979565116936,918,139,15.14161220043573,11.65991902834008,29,4,20,147,4,3,0,0,15.6,0.4,12.0,19.2,6.0,4.7,8.9,3.6,1024.3,1021.1,69.0,85.0,53.0
LA GOMERA,2021-01-12,0,36.903773410831256,96.87240520343204,101,0,0.0,3.024574669187146,2,0,1,18,0,0,0,0,17.2,0.1,14.3,20.0,33.0,3.6,12.8,3.6,1001.0,997.0,51.0,62.0,43.0
EL HIERRO,2021-01-12,2,89.71023593792052,287.0727550013456,61,2,3.278688524590164,5.734767025089606,0,0,2,9,0,0,0,0,18.1,0.0,17.1,19.1,99.0,7.8,11.4,5.1,1023.4,1020.2,65.0,73.0,55.0
LA PALMA,2021-01-12,0,25.162357113757817,51.52292170912315,167,4,2.395209580838323,4.688763136620857,22,0,0,151,0,6,0,0,16.0,2.5,13.9,18.0,99.0,5.3,13.3,0.2,1022.8,1019.1,64.0,86.0,56.0
FUERTEVENTURA,2021-01-12,20,109.41101794006616,149.50055123108274,373,28,7.506702412868632,10.727728983688833,9,1,0,80,1,1,0,0,16.6,0.0,13.8,19.3,3.0,6.1,11.7,2.8,1022.8,1019.8,66.0,84.0,48.0
GRAN CANARIA,2021-01-13,136,88.4840933185743,152.1879649944303,2453,163,6.644924582144313,8.31336405529954,214,9,93,1600,25,87,0,29,17.3,0.0,14.8,19.8,3.0,8.1,12.8,7.6,1023.4,1020.3,63.0,85.0,53.0
FUERTEVENTURA,2021-01-13,17,104.39982627868908,157.01733872314836,309,25,8.090614886731391,10.176721511273614,21,1,1,86,0,2,0,0,17.6,0.0,15.1,20.1,99.0,5.0,11.4,8.8,1025.2,1022.2,55.0,76.0,32.0
LA PALMA,2021-01-13,1,20.36952718732776,46.73009178269309,152,2,1.315789473684211,4.296545914069082,20,0,0,157,0,5,0,0,17.0,0.0,14.8,19.3,99.0,6.7,11.4,3.6,1024.6,1021.5,61.0,74.0,53.0
LANZAROTE,2021-01-13,105,295.22758195774395,380.5868610890047,848,111,13.089622641509434,13.12958435207824,38,5,22,155,4,5,0,0,15.8,0.0,11.2,20.5,1.0,4.2,8.9,8.9,1026.6,1023.5,62.0,85.0,44.0
EL HIERRO,2021-01-13,0,98.68125953171256,260.1596842199695,57,0,0.0,4.0625,0,0,2,8,0,0,0,0,18.4,0.0,17.8,19.1,99.0,10.3,13.9,5.3,1025.3,1022.1,63.0,70.0,52.0
TENERIFE,2021-01-13,90,59.44406873112759,138.59513850898767,2446,131,5.3556827473426,6.403708650899662,243,7,118,1566,32,61,0,12,17.2,0.05,14.2,20.2,4.0,2.5,8.6,5.0,1025.1,1021.8,64.0,92.0,49.0
LA GOMERA,2021-01-13,0,36.903773410831256,78.42051849801642,53,5,9.433962264150944,2.473498233215548,4,0,1,22,0,0,0,0,17.4,0.0,14.7,20.1,6.0,3.1,11.9,8.5,1002.5,999.6,58.0,69.0,50.0
LANZAROTE,2021-01-14,110,331.8101301568557,441.557774754191,779,113,14.505776636713737,13.032859680284192,37,5,26,161,5,4,0,1,16.0,0.0,12.2,19.8,99.0,6.1,10.8,6.3,1027.9,1024.8,65.0,85.0,46.0
TENERIFE,2021-01-14,77,57.72105224616737,133.10302346317698,2181,119,5.456212746446584,5.758477960932394,234,7,108,1608,30,66,0,18,17.2,0.0,14.6,19.9,8.0,2.5,8.1,1.5,1025.8,1022.8,64.0,72.0,51.0
LA GOMERA,2021-01-14,0,36.903773410831256,64.5816034689547,164,2,1.219512195121951,3.099510603588907,0,0,1,22,0,0,0,0,17.6,0.0,15.0,20.3,6.0,3.3,10.8,5.5,1003.2,1000.4,49.0,67.5,49.0
LA PALMA,2021-01-14,0,21.567734668935277,41.93726185626303,94,3,3.191489361702128,4.030418250950571,20,0,0,152,0,5,0,0,17.8,1.0,15.0,20.5,99.0,5.0,11.7,3.3,1025.3,1022.4,60.0,72.0,47.0
GRAN CANARIA,2021-01-14,165,95.14670008100327,160.13633797417012,2074,189,9.112825458052074,8.015487272427713,217,6,93,1587,24,81,0,25,17.4,0.05,14.7,20.1,3.0,5.6,12.5,3.9,1024.5,1021.6,61.0,75.0,50.0
