fecha,isla,numero_casos,pcr_total,Urg_cv,HPT_cv19,CCR_cv19,tmin,tmed,presMax
2021-02-04,LANZAROTE,37,430,8,36,21,12.2,15.0,1013.4
2021-02-04,GRAN CANARIA,112,2479,13,113,44,13.9,16.2,1010.8
2021-02-04,LA PALMA,3,196,0,0,0,14.9,17.6,1011.6
2021-02-05,FUERTEVENTURA,6,157,0,3,2,12.4,15.4,1012.0
2021-02-05,LA GOMERA,0,154,0,0,0,10.8,14.1,992.0
2021-02-05,LANZAROTE,56,579,2,30,22,11.8,15.2,1012.5
2021-02-05,GRAN CANARIA,107,2474,11,103,40,12.0,15.0,1011.2
2021-02-05,TENERIFE,49,1896,10,81,16,11.8,14.5,1013.1
2021-02-05,LA PALMA,2,156,0,0,0,11.0,14.0,1013.4
2021-02-05,EL HIERRO,6,41,0,2,0,12.5,14.9,1014.8
2021-02-06,EL HIERRO,2,35,0,2,0,16.7,18.3,1019.1
2021-02-06,LA PALMA,3,180,0,0,0,13.1,16.4,1017.5
2021-02-06,LA GOMERA,0,24,0,0,0,13.0,16.5,996.2
2021-02-06,TENERIFE,37,1300,8,85,16,13.4,16.6,1017.6
2021-02-06,GRAN CANARIA,113,2145,8,104,42,11.6,15.8,1016.3
2021-02-06,LANZAROTE,47,423,7,34,24,10.5,14.6,1018.4
2021-02-06,FUERTEVENTURA,3,220,0,3,2,11.4,16.0,1017.7
2021-02-07,LANZAROTE,55,362,2,0,0,12.4,16.4,1020.8
2021-02-07,LA PALMA,1,45,0,0,0,13.6,16.6,1019.0
2021-02-07,LA GOMERA,0,11,0,0,0,13.4,16.8,997.7
2021-02-07,FUERTEVENTURA,4,276,1,5,1,13.8,17.2,1019.6
2021-02-07,EL HIERRO,0,4,0,2,0,16.9,18.4,1020.6
2021-02-07,GRAN CANARIA,64,1459,7,109,42,14.4,17.6,1018.5
2021-02-07,TENERIFE,41,937,3,77,15,14.9,18.4,1019.4
2021-02-08,TENERIFE,43,1784,15,86,14,14.6,18.0,1019.2
2021-02-08,GRAN CANARIA,93,2983,12,113,40,15.1,18.2,1018.2
2021-02-08,LA GOMERA,0,83,0,0,0,14.8,17.0,997.4
2021-02-08,FUERTEVENTURA,2,126,1,3,1,15.9,18.6,1019.5
2021-02-08,EL HIERRO,0,28,0,2,0,16.6,18.2,1020.3
2021-02-08,LA PALMA,3,195,0,0,0,14.7,17.4,1018.8
2021-02-08,LANZAROTE,23,580,6,33,24,14.5,18.0,1020.6
2021-02-09,FUERTEVENTURA,12,268,1,3,1,14.9,18.8,1018.8
2021-02-09,TENERIFE,57,2235,6,72,15,15.6,19.0,1018.3
2021-02-09,GRAN CANARIA,75,2306,10,109,41,13.6,17.6,1017.4
2021-02-09,LANZAROTE,47,488,6,35,22,13.6,18.8,1019.8
2021-02-09,LA PALMA,1,165,0,0,0,15.4,18.4,1017.4
2021-02-09,LA GOMERA,0,56,0,0,0,13.7,17.4,996.7
2021-02-09,EL HIERRO,1,62,0,1,0,15.7,18.8,1019.4
2021-02-10,FUERTEVENTURA,7,610,1,2,1,15.3,18.6,1019.0
2021-02-10,LA PALMA,2,125,0,0,0,15.4,17.8,1017.4
2021-02-10,GRAN CANARIA,92,2099,12,109,38,14.2,17.7,1017.3
2021-02-10,LANZAROTE,41,462,2,30,20,13.9,17.5,1020.2
2021-02-10,TENERIFE,58,2053,8,64,17,14.8,18.7,1018.3
2021-02-10,LA GOMERA,0,74,0,0,0,14.7,17.7,996.7
2021-02-10,EL HIERRO,39,92,0,1,0,15.4,18.5,1019.2
2021-02-11,FUERTEVENTURA,12,278,0,2,1,16.7,19.6,1019.6
2021-02-11,LANZAROTE,50,506,4,33,18,13.9,17.6,1020.9
2021-02-11,LA PALMA,2,225,0,0,0,15.0,17.8,1019.0
2021-02-11,LA GOMERA,0,35,0,0,0,14.8,18.2,997.7
2021-02-11,EL HIERRO,0,30,0,1,0,16.3,18.9,1020.3
2021-02-11,GRAN CANARIA,126,2322,9,103,41,12.7,17.3,1017.8
2021-02-11,TENERIFE,60,2135,7,55,18,15.8,19.6,1019.3
2021-02-12,LA GOMERA,2,35,2,2,0,15.8,19.3,998.3
2021-02-12,GRAN CANARIA,95,2302,13,96,44,16.6,19.4,1018.8
2021-02-12,FUERTEVENTURA,7,254,0,1,1,17.6,19.8,1020.4
2021-02-12,EL HIERRO,1,42,0,1,0,17.5,19.4,1021.5
2021-02-12,LA PALMA,6,233,0,0,0,16.1,18.6,1020.1
2021-02-12,LANZAROTE,19,426,6,28,19,15.4,19.2,1021.6
2021-02-12,TENERIFE,45,1893,7,54,19,17.5,20.4,1020.2
2021-02-13,LA GOMERA,0,13,0,2,0,15.7,18.6,997.8
2021-02-13,LA PALMA,3,235,0,0,0,15.9,18.5,1020.0
2021-02-13,FUERTEVENTURA,10,219,0,1,1,17.2,19.4,1020.2
2021-02-13,GRAN CANARIA,53,1918,10,97,48,16.9,19.5,1018.5
2021-02-13,TENERIFE,57,1593,3,51,19,16.3,19.0,1020.0
2021-02-13,EL HIERRO,0,10,0,1,0,18.3,19.8,1021.1
2021-02-13,LANZAROTE,42,397,6,32,19,14.7,19.1,1021.1
2021-02-14,FUERTEVENTURA,6,47,0,1,1,16.8,18.6,1019.4
2021-02-14,LANZAROTE,17,301,0,33,18,13.0,17.2,1020.7
2021-02-14,TENERIFE,39,716,6,52,21,14.5,17.8,1018.5
2021-02-14,LA PALMA,3,95,0,0,0,14.9,18.0,1018.2
2021-02-14,LA GOMERA,0,10,0,2,0,15.1,18.4,996.9
2021-02-14,GRAN CANARIA,66,1470,4,97,48,15.3,18.0,1017.3
2021-02-14,EL HIERRO,0,6,0,1,0,17.6,19.2,1019.4
2021-02-15,FUERTEVENTURA,5,209,0,1,0,15.2,19.2,1021.2
2021-02-15,LA PALMA,2,249,1,1,0,15.0,20.5,1018.1
2021-02-15,LANZAROTE,9,498,8,42,19,13.4,19.1,1022.5
2021-02-15,GRAN CANARIA,60,2086,6,93,46,15.1,20.2,1019.1
2021-02-15,LA GOMERA,0,19,0,2,0,14.4,20.1,997.3
2021-02-15,TENERIFE,44,1699,8,55,17,14.8,19.5,1019.6
