fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2021-03-04,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,8","0,0","15,4",04:20,"24,1",14:10,30,"2,8","12,2",17:40,"11,0","1018,1",00,"1015,4",Varias,56,70,02:40,34,14:10
2021-03-05,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"20,4","2,4","17,5",23:59,"23,2",13:20,30,"3,3","15,3",09:20,"8,0","1016,5",00,"1013,2",16,64,80,09:50,53,15:00
2021-03-06,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,1","1,2","15,1",04:50,"21,1",12:30,36,"4,2","12,2",12:10,"3,1","1019,8",24,"1014,9",03,60,89,04:30,52,12:30
2021-03-07,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,5","0,8","17,2",02:50,"21,8",13:30,32,"5,3","13,9",15:50,"8,3","1021,1",10,"1017,7",16,55,73,02:50,47,12:20
2021-03-08,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,3","4,6","16,4",23:50,"22,2",16:20,34,"3,6","11,7",05:00,"9,4","1018,1",00,"1014,0",16,72,87,23:40,59,16:10
2021-03-09,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,4",Ip,"15,7",03:10,"21,1",13:10,32,"5,3","15,3",18:40,"9,3","1018,8",22,"1015,3",06,54,81,02:00,45,15:50
2021-03-10,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,8","0,0","16,6",06:40,"21,1",15:20,01,"2,8","10,3",15:00,"6,8","1020,5",23,"1016,9",06,,62,06:00,47,16:00
2021-03-11,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,9","0,0","16,3",23:20,"21,5",14:30,10,"3,9","9,7",13:30,"7,9","1021,5",10,"1018,7",17,66,79,19:30,58,14:30
2021-03-12,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,2","0,0","15,4",05:10,"21,0",13:50,99,"3,6","9,2",Varias,"9,4","1021,3",11,"1017,0",17,70,78,03:30,62,Varias
2021-03-13,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,2","0,0","14,9",05:20,"21,5",15:00,09,"3,3","9,7",12:30,"4,9","1018,7",11,"1015,6",18,64,77,23:59,54,15:40
2021-03-14,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,7","0,0","17,5",23:20,"21,9",13:10,08,"3,1","9,4",11:50,"7,9","1017,4",00,"1014,5",17,64,77,00:00,59,10:20
2021-03-15,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"20,0","0,0","17,0",03:10,"23,1",15:20,34,"3,6","8,9",10:40,"9,8","1015,6",11,"1013,1",16,60,70,04:50,48,11:30
2021-03-16,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,2","0,0","15,5",06:30,"22,9",12:10,,"2,8",,,"10,5","1014,6",00,"1011,4",17,57,74,07:00,45,11:50
2021-03-17,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,8","0,0","15,2",06:20,"24,5",16:10,32,"3,9","13,3",16:50,"11,2","1013,2",Varias,"1010,2",16,57,73,06:50,37,15:10
2021-03-18,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"20,2","0,0","17,3",04:00,"23,0",12:10,34,"3,3","11,1",11:30,"10,9","1013,5",Varias,"1011,3",04,53,65,Varias,44,13:00
2021-03-19,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"20,3","0,0","17,2",23:30,"23,4",15:20,99,"4,7","11,7",Varias,"10,6","1014,9",22,"1012,0",Varias,52,68,03:40,36,15:00
2021-03-20,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,1","0,0","16,1",05:50,"22,1",14:20,31,"5,0","12,2",05:30,"10,9","1015,2",22,"1013,1",05,52,61,Varias,42,14:30
2021-03-21,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,8","0,0","16,1",05:30,"21,5",14:30,10,"2,8","11,9",15:40,"6,0","1016,0",11,"1013,4",04,56,77,04:40,42,14:30
2021-03-22,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,4","0,0","16,2",23:30,"20,5",15:40,07,"3,1","8,9",16:30,"4,2","1015,5",11,"1012,4",17,50,58,Varias,45,10:10
2021-03-23,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,0","0,0","14,2",06:00,"23,7",16:20,28,"3,3","8,6",19:20,"11,1","1016,7",11,"1013,7",Varias,55,65,23:50,42,16:10
2021-03-24,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"20,9","0,0","16,8",Varias,"25,0",Varias,28,"2,2","9,2",05:20,"10,7","1016,9",10,"1014,0",04,55,,,,
2021-03-25,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"24,2","0,0","18,9",00:40,"29,6",13:20,23,"3,9","11,1",13:10,"10,8","1015,1",00,"1007,4",24,21,69,00:30,10,Varias
2021-03-26,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"21,4","0,0","18,5",23:59,"24,2",12:30,29,"3,1","12,5",16:10,"8,6","1010,1",22,"1004,8",04,62,80,22:00,23,00:20
2021-03-27,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"20,1","0,4","17,4",Varias,"22,8",14:40,28,"3,1","13,3",17:40,"6,9","1010,7",24,"1007,6",17,68,76,00:20,52,Varias
2021-03-28,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"20,2","4,2","17,1",07:40,"23,4",15:30,17,"1,7","8,3",14:50,"7,8","1010,9",10,"1007,2",18,71,90,08:00,60,18:50
2021-03-29,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"20,4","0,2","17,5",02:50,"23,2",17:10,30,"4,2","11,9",14:40,"8,5","1012,7",22,"1007,5",04,62,79,02:50,50,16:50
2021-03-30,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,5","0,0","16,0",06:40,"23,0",15:20,32,"2,2","9,4",00:40,"10,2","1012,4",00,"1007,6",19,68,82,23:50,55,09:20
2021-03-31,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"20,7","0,0","16,7",07:20,"24,7",13:30,34,"3,3","13,3",19:40,"9,5","1010,3",24,"1004,8",06,54,82,00:00,42,18:10
2021-04-01,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"20,7","0,0","17,4",06:00,"24,0",13:00,32,"2,8","8,6",10:30,"10,4","1016,2",23,"1010,2",03,58,68,07:50,49,15:40
2021-04-02,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,5","0,0","16,7",03:30,"22,3",12:50,08,"3,9","10,3",13:50,"11,2","1016,0",11,"1013,6",18,65,72,05:10,52,18:50
2021-04-03,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"20,1","0,0","16,9",07:00,"23,3",14:10,32,"3,3","10,0",13:50,"10,6","1015,1",00,"1011,8",16,56,71,00:30,46,Varias
2021-04-04,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,4","0,0","16,9",04:40,"21,9",16:00,99,"3,3","10,0",Varias,"10,5","1014,2",00,"1011,6",16,56,65,06:10,49,Varias
2021-04-05,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,8","0,0","16,9",07:10,"22,6",13:10,,"1,9",,,"5,7","1013,4",24,"1011,5",18,56,64,23:30,46,10:00
2021-04-06,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,3","0,0","16,0",Varias,"22,6",14:20,13,"2,2","5,8",14:00,"10,1","1013,4",00,"1010,6",17,62,72,23:00,56,10:40
2021-04-07,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"20,4","0,0","17,0",03:00,"23,7",15:20,,"1,9",,,"8,4","1014,4",24,"1011,1",05,69,85,23:59,61,Varias
2021-04-08,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"20,9","0,0","17,7",06:50,"24,1",13:40,20,"1,4","5,3",15:00,"10,8","1015,2",11,"1012,6",18,71,86,00:50,60,11:00
2021-04-09,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"22,0","0,0","19,2",05:50,"24,7",12:50,99,"2,5","7,5",Varias,"10,5","1013,9",00,"1011,3",16,65,71,06:50,55,17:40
2021-04-10,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"20,0","0,0","17,5",06:40,"22,4",12:30,10,"3,1","7,2",11:40,"10,9","1013,9",23,"1010,8",05,65,72,20:00,57,08:30
2021-04-11,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,8","0,0","16,5",06:40,"23,0",13:20,11,"2,8","5,3",10:20,"11,3","1015,8",23,"1011,8",04,66,76,19:30,49,02:50
2021-04-12,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"20,8","0,0","17,9",07:00,"23,8",14:30,08,"2,2","7,8",13:30,"11,8","1017,1",23,"1013,9",05,69,86,23:30,52,09:20
2021-04-13,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"21,3","0,0","18,4",06:50,"24,2",16:30,35,"1,9","6,4",17:50,"10,7","1016,9",00,"1013,1",16,74,86,Varias,62,22:10
2021-04-14,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"22,8",Ip,"19,8",Varias,"25,8",11:40,34,"3,1","8,9",09:10,"9,1","1015,2",00,"1011,6",17,64,73,04:30,53,11:20
2021-04-15,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"22,2","1,2","19,6",07:00,"24,7",14:30,31,"3,6","12,8",17:00,"8,1","1013,7",22,"1011,2",05,60,73,07:00,45,13:50
2021-04-16,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"21,2",Ip,"18,5",04:30,"23,9",14:50,36,"3,9","10,3",13:30,"5,8","1015,1",23,"1012,1",05,60,78,04:00,51,Varias
2021-04-17,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"21,4","0,0","19,6",23:40,"23,3",15:50,02,"3,6","9,2",10:20,"5,6","1016,3",23,"1013,8",04,56,66,04:00,52,15:40
2021-04-18,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"21,8","0,0","18,0",07:00,"25,7",15:50,02,"1,7","8,6",10:30,"11,5","1016,6",09,"1013,9",16,48,63,Varias,36,15:50
2021-04-19,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"21,4","0,0","17,2",06:40,"25,5",15:10,09,"2,8","10,3",13:30,"12,0","1016,0",10,"1013,4",17,53,69,06:20,39,15:30
2021-04-20,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"22,4","0,0","18,6",06:40,"26,1",15:50,34,"3,9","12,5",17:50,"11,9","1015,1",00,"1012,2",Varias,53,66,Varias,38,13:50
2021-04-21,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"22,4","0,0","18,3",05:00,"26,5",Varias,01,"3,6","10,8",10:40,"11,9","1014,0",00,"1010,7",16,53,71,01:30,37,16:10
